Longitude,Latitude,Depth_m
-73.12343831,-15.12346176,0.65700000
-73.12342062,-15.12346753,0.65700000
-73.12340293,-15.12347329,0.63600000
-73.12338525,-15.12347904,0.64200000
-73.12336756,-15.12348481,0.63200000
-73.12334987,-15.12349057,0.63500000
-73.12333218,-15.12349633,0.69600000
-73.12331449,-15.12350210,0.77200000
-73.12329680,-15.12350786,0.86200000
-73.12327911,-15.12351361,1.08600000
-73.12326143,-15.12351938,1.32700000
-73.12324375,-15.12352514,1.42600000
-73.12322606,-15.12353090,1.52000000
-73.12320837,-15.12353667,1.55300000
-73.12319068,-15.12354243,1.61300000
-73.12317299,-15.12354818,1.62200000
-73.12315530,-15.12355395,1.58300000
-73.12313761,-15.12355971,1.51600000
-73.12311993,-15.12356547,1.49800000
-73.12310224,-15.12357124,1.48400000
-73.12308455,-15.12357700,1.47700000
-73.12306686,-15.12358276,1.51700000
-73.12304917,-15.12358852,1.58300000
-73.12303148,-15.12359428,1.60900000
-73.12301379,-15.12360004,1.67300000
-73.12299610,-15.12360581,1.48500000
-73.12297842,-15.12361157,1.29000000
-73.12296073,-15.12361733,1.31200000
-73.12294304,-15.12362309,1.11600000
-73.12292535,-15.12362885,1.12500000
-73.12290766,-15.12363462,1.23800000
-73.12288997,-15.12364038,1.14200000
-73.12287228,-15.12364614,0.74600000
-73.12285460,-15.12365190,0.91200000
-73.12283691,-15.12365766,1.12800000
-73.12281923,-15.12366342,0.95700000
-73.12280154,-15.12366919,0.95200000
-73.12278385,-15.12367495,0.98500000
-73.12276616,-15.12368071,1.04400000
-73.12274847,-15.12368648,1.04600000
-73.12273078,-15.12369223,1.06300000
-73.12271310,-15.12369799,1.09700000
-73.12269541,-15.12370376,1.10700000
-73.12267772,-15.12370952,1.12500000
-73.12266003,-15.12371528,1.12300000
-73.12264234,-15.12372105,0.86000000
-73.12262465,-15.12372680,1.02400000
-73.12260696,-15.12373256,1.26000000
-73.12258928,-15.12373833,1.29600000
-73.12257159,-15.12374409,1.30300000
-73.12255390,-15.12374985,1.30000000
-73.12253621,-15.12375562,1.27400000
-73.12251852,-15.12376137,1.27300000
-73.12250083,-15.12376713,1.27400000
-73.12248314,-15.12377290,1.08200000
-73.12246545,-15.12377866,1.28200000
-73.12244777,-15.12378442,1.32600000
-73.12243008,-15.12379019,1.40500000
-73.12241239,-15.12379594,1.12900000
-73.12239471,-15.12380170,1.18800000
-73.12237702,-15.12380747,1.28300000
-73.12235933,-15.12381323,1.37800000
-73.12234164,-15.12381899,1.48400000
-73.12232395,-15.12382476,1.98600000
-73.12230627,-15.12383052,2.34400000
-73.12228858,-15.12383627,2.66000000
-73.12227089,-15.12384204,2.81500000
-73.12225320,-15.12384780,2.72900000
-73.12223551,-15.12385356,2.41700000
-73.12221782,-15.12385933,2.37600000
-73.12220013,-15.12386509,1.11000000
