Piezometer,(Bottom)m bTOC,(Easting)m,(Northing)m,(TOC)m amsl,(TOS)m amsl,(BOS)m amsl,cm bTOC,(GS)m amsl,(TOS)m bgs,(BOS)m bgs,X (m),Y (m),Z 2(m),Z1(m)
PCB1,1.81,408983.18,139884,146.21,144.71,144.4,5.2,146.16,1.45,1.76,697388,4345790,-1.76,-1.46
PCB2,1.91,409021.55,139881.62,146.02,144.41,144.11,,145.87,1.46,1.77,697426,4345789,-1.77,-1.47
PCB4,1.76,409050.71,139875.18,145.94,144.48,144.18,,145.91,1.43,1.73,697456,4345784,-1.73,-1.43
PCB7,1.75,409080.16,139873.49,145.96,144.51,144.21,4,145.92,1.41,1.71,697485,4345784,-1.71,-1.41
PCB8,1.72,409113.56,139855.38,145.88,144.46,144.16,6.8,145.81,1.35,1.65,697519,4345768,-1.65,-1.35
PCB9,1.9,409006.74,139862.94,145.88,144.29,143.98,34,145.54,1.26,1.56,697412,4345770,-1.56,-1.26
PCB3,1.73,409038.7,139865.45,146.02,144.59,144.29,14.3,145.88,1.28,1.59,697444,4345774,-1.59,-1.29
PCB5,1.87,409052.33,139869.2,145.96,144.39,144.09,4.7,145.91,1.52,1.82,697457,4345778,-1.82,-1.52
PCB6,1.63,409064.84,139861.17,145.97,144.64,144.34,4.1,145.93,1.28,1.59,697470,4345771,-1.59,-1.29
PCB10,1.82,409088.3,139845.66,145.8,144.28,143.98,23.2,145.57,1.28,1.59,697495,4345757,-1.59,-1.29
SW1,,408903.46,139879.85,,,,,,,,697308.691,4345781.995,,
SW3,,409206.84,139816.89,,,,,,,,697614.871,4345734.198,,
